ZIP,CBSA,CBSA_NAME,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
5748,99999,Not in CBSA,HANCOCK,VT,1,1,1,1
5750,40860,"Rutland, VT",HYDEVILLE,VT,0,0,1,1
5751,40860,"Rutland, VT",KILLINGTON,VT,1,1,1,1
5753,99999,Not in CBSA,MIDDLEBURY,VT,1,1,1,1
5757,40860,"Rutland, VT",MIDDLETOWN SPRINGS,VT,1,1,1,1
5758,30150,"Lebanon-Claremont, NH-VT",MOUNT HOLLY,VT,0.025948104,0,0,0.025291829
5758,40860,"Rutland, VT",MOUNT HOLLY,VT,0.974051896,1,1,0.974708171
5759,40860,"Rutland, VT",NORTH CLARENDON,VT,1,1,1,1
5760,40860,"Rutland, VT",ORWELL,VT,0.046774194,0.071428571,0.869565217,0.076103501
5760,99999,Not in CBSA,ORWELL,VT,0.953225806,0.928571429,0.130434783,0.923896499
5761,13540,"Bennington, VT",PAWLET,VT,0.21512605,0,0,0.211221122
5761,40860,"Rutland, VT",PAWLET,VT,0.78487395,1,1,0.788778878
5762,30150,"Lebanon-Claremont, NH-VT",PITTSFIELD,VT,0.056521739,0,0,0.055084746
5762,40860,"Rutland, VT",PITTSFIELD,VT,0.943478261,1,1,0.944915254
5763,40860,"Rutland, VT",PITTSFORD,VT,1,1,1,1
5764,40860,"Rutland, VT",POULTNEY,VT,1,1,1,1
5765,40860,"Rutland, VT",PROCTOR,VT,1,1,1,1
5766,99999,Not in CBSA,RIPTON,VT,1,1,1,1
5767,30150,"Lebanon-Claremont, NH-VT",ROCHESTER,VT,0.982051282,0.96969697,1,0.982185273
5767,40860,"Rutland, VT",ROCHESTER,VT,0.014102564,0,0,0.013064133
5767,99999,Not in CBSA,ROCHESTER,VT,0.003846154,0.03030303,0,0.004750594
5768,13540,"Bennington, VT",RUPERT,VT,0.888888889,0.8,1,0.883333333
5768,40860,"Rutland, VT",RUPERT,VT,0.111111111,0.2,0,0.116666667
5769,99999,Not in CBSA,SALISBURY,VT,1,1,1,1
5770,99999,Not in CBSA,SHOREHAM,VT,1,1,1,1
5772,30150,"Lebanon-Claremont, NH-VT",STOCKBRIDGE,VT,0.994366197,1,1,0.994594595
5772,40860,"Rutland, VT",STOCKBRIDGE,VT,0.005633803,0,0,0.005405405
5773,40860,"Rutland, VT",WALLINGFORD,VT,1,1,1,1
5774,40860,"Rutland, VT",WELLS,VT,1,1,1,1
5775,13540,"Bennington, VT",WEST PAWLET,VT,0.212418301,0.1,0.142857143,0.207430341
5775,40860,"Rutland, VT",WEST PAWLET,VT,0.787581699,0.9,0.857142857,0.792569659
5776,13540,"Bennington, VT",WEST RUPERT,VT,1,1,1,1
5777,40860,"Rutland, VT",WEST RUTLAND,VT,1,1,1,1
5778,40860,"Rutland, VT",WHITING,VT,0.049046322,0,0.166666667,0.049479167
5778,99999,Not in CBSA,WHITING,VT,0.950953678,1,0.833333333,0.950520833
5819,99999,Not in CBSA,SAINT JOHNSBURY,VT,1,1,1,1
5820,99999,Not in CBSA,ALBANY,VT,1,1,1,1
5821,99999,Not in CBSA,BARNET,VT,1,1,1,1
5822,99999,Not in CBSA,BARTON,VT,1,1,1,1
5823,99999,Not in CBSA,BEEBE PLAIN,VT,0,0,1,1
5824,99999,Not in CBSA,CONCORD,VT,1,1,1,1
5825,99999,Not in CBSA,COVENTRY,VT,1,1,1,1
5826,99999,Not in CBSA,CRAFTSBURY,VT,1,1,1,1
5827,99999,Not in CBSA,CRAFTSBURY COMMON,VT,1,1,1,1
5828,99999,Not in CBSA,DANVILLE,VT,1,1,1,1
5829,99999,Not in CBSA,DERBY,VT,1,1,1,1
5830,99999,Not in CBSA,DERBY LINE,VT,1,1,1,1
5832,99999,Not in CBSA,EAST BURKE,VT,1,1,1,1
5833,99999,Not in CBSA,EAST CHARLESTON,VT,1,1,0,1
5836,99999,Not in CBSA,EAST HARDWICK,VT,1,1,1,1
5837,99999,Not in CBSA,EAST HAVEN,VT,1,1,0,1
5838,99999,Not in CBSA,EAST SAINT JOHNSBURY,VT,0,1,0,1
5839,99999,Not in CBSA,GLOVER,VT,1,1,1,1
5840,99999,Not in CBSA,GRANBY,VT,1,1,0,1
5841,99999,Not in CBSA,GREENSBORO,VT,1,1,1,1
5842,99999,Not in CBSA,GREENSBORO BEND,VT,1,1,1,1
5843,12740,"Barre, VT",HARDWICK,VT,0.024544735,0,0,0.022997033
5843,99999,Not in CBSA,HARDWICK,VT,0.975455265,1,1,0.977002967
5845,99999,Not in CBSA,IRASBURG,VT,1,1,1,1
5846,99999,Not in CBSA,ISLAND POND,VT,1,1,1,1
5847,99999,Not in CBSA,LOWELL,VT,1,1,1,1
5848,99999,Not in CBSA,LOWER WATERFORD,VT,1,0,0,1
5849,99999,Not in CBSA,LYNDON,VT,1,0,0,1
5850,99999,Not in CBSA,LYNDON CENTER,VT,1,1,1,1
5851,99999,Not in CBSA,LYNDONVILLE,VT,1,1,1,1
5853,99999,Not in CBSA,MORGAN,VT,1,1,1,1
5855,99999,Not in CBSA,NEWPORT,VT,1,1,1,1
5857,99999,Not in CBSA,NEWPORT CENTER,VT,1,1,1,1
5858,99999,Not in CBSA,NORTH CONCORD,VT,1,1,0,1
5859,99999,Not in CBSA,NORTH TROY,VT,1,1,1,1
5860,99999,Not in CBSA,ORLEANS,VT,1,1,1,1
5861,99999,Not in CBSA,PASSUMPSIC,VT,1,0,0,1
5862,99999,Not in CBSA,PEACHAM,VT,1,1,0,1
5863,99999,Not in CBSA,SAINT JOHNSBURY CENTER,VT,0,1,0,1
5866,99999,Not in CBSA,SHEFFIELD,VT,1,1,1,1
5867,99999,Not in CBSA,SUTTON,VT,1,1,1,1
5868,99999,Not in CBSA,TROY,VT,1,0,1,1
